insee_com,lib_com,niveau_centralite
01001,L'Abergement-Clémenciat,Communes non centre
01002,L'Abergement-de-Varey,Communes non centre
01004,Ambérieu-en-Bugey,Centre structurant d'équipements et de services
01005,Ambérieux-en-Dombes,Centre local d'équipements et de services
01006,Ambléon,Communes non centre
01007,Ambronay,Centre local d'équipements et de services
01008,Ambutrix,Centre local d'équipements et de services
01009,Andert-et-Condon,Communes non centre
01010,Anglefort,Centre local d'équipements et de services
01011,Apremont,Communes non centre
01012,Aranc,Communes non centre
01013,Arandas,Communes non centre
01014,Arbent,Centre intermédiaire d'équipements et de services
01015,Arboys en Bugey,Communes non centre
01016,Arbigny,Communes non centre
01017,Argis,Communes non centre
01019,Armix,Communes non centre
01021,Ars-sur-Formans,Centre local d'équipements et de services
01022,Artemare,Centre intermédiaire d'équipements et de services
01023,Asnières-sur-Saône,Communes non centre
01024,Attignat,Centre local d'équipements et de services
01025,Bâgé-Dommartin,Centre local d'équipements et de services
01026,Bâgé-le-Châtel,Centre local d'équipements et de services
01027,Balan,Centre local d'équipements et de services
01028,Baneins,Communes non centre
01029,Beaupont,Communes non centre
01030,Beauregard,Centre local d'équipements et de services
01031,Bellignat,Centre intermédiaire d'équipements et de services
01032,Béligneux,Centre local d'équipements et de services
01033,Valserhône,Centre structurant d'équipements et de services
01034,Belley,Centre structurant d'équipements et de services
01035,Belleydoux,Communes non centre
01036,Valromey-sur-Séran,Communes non centre
01037,Bénonces,Communes non centre
01038,Bény,Communes non centre
01040,Béréziat,Communes non centre
01041,Bettant,Communes non centre
01042,Bey,Communes non centre
01043,Beynost,Centre intermédiaire d'équipements et de services
01044,Billiat,Communes non centre
01045,Birieux,Communes non centre
01046,Biziat,Communes non centre
01047,Blyes,Centre local d'équipements et de services
01049,La Boisse,Centre local d'équipements et de services
01050,Boissey,Communes non centre
01051,Bolozon,Communes non centre
01052,Bouligneux,Communes non centre
01053,Bourg-en-Bresse,Centre majeur d'équipements et de services
01054,Bourg-Saint-Christophe,Communes non centre
01056,Boyeux-Saint-Jérôme,Communes non centre
01057,Boz,Communes non centre
01058,Brégnier-Cordon,Centre local d'équipements et de services
01060,Brénod,Communes non centre
01061,Brens,Communes non centre
01062,Bressolles,Communes non centre
01063,Brion,Communes non centre
01064,Briord,Communes non centre
01065,Buellas,Centre local d'équipements et de services
01066,La Burbanche,Communes non centre
01067,Ceignes,Communes non centre
01068,Cerdon,Communes non centre
01069,Certines,Communes non centre
01071,Cessy,Centre local d'équipements et de services
01072,Ceyzériat,Centre intermédiaire d'équipements et de services
01073,Ceyzérieu,Centre local d'équipements et de services
01074,Chalamont,Centre intermédiaire d'équipements et de services
01075,Chaleins,Centre local d'équipements et de services
01076,Chaley,Communes non centre
01077,Challes-la-Montagne,Communes non centre
01078,Challex,Communes non centre
01079,Champagne-en-Valromey,Centre local d'équipements et de services
01080,Champdor-Corcelles,Communes non centre
01081,Champfromier,Centre local d'équipements et de services
01082,Chanay,Communes non centre
01083,Chaneins,Communes non centre
01084,Chanoz-Châtenay,Communes non centre
01085,La Chapelle-du-Châtelard,Communes non centre
01087,Charix,Communes non centre
01088,Charnoz-sur-Ain,Communes non centre
01089,Château-Gaillard,Centre local d'équipements et de services
01090,Châtenay,Communes non centre
01092,Châtillon-la-Palud,Centre local d'équipements et de services
01093,Châtillon-sur-Chalaronne,Centre intermédiaire d'équipements et de services
01094,Chavannes-sur-Reyssouze,Communes non centre
01095,Nivigne et Suran,Centre local d'équipements et de services
01096,Chaveyriat,Communes non centre
01098,Chazey-Bons,Centre local d'équipements et de services
01099,Chazey-sur-Ain,Centre local d'équipements et de services
01100,Cheignieu-la-Balme,Communes non centre
