insee_com,lib_com,niveau_densite
01001,L'Abergement-Clémenciat,Rural à habitat dispersé
01002,L'Abergement-de-Varey,Rural à habitat dispersé
01004,Ambérieu-en-Bugey,Centres urbains intermédiaires
01005,Ambérieux-en-Dombes,Bourgs ruraux
01006,Ambléon,Rural à habitat dispersé
01007,Ambronay,Rural à habitat dispersé
01008,Ambutrix,Ceintures urbaines
01009,Andert-et-Condon,Rural à habitat dispersé
01010,Anglefort,Bourgs ruraux
01011,Apremont,Rural à habitat dispersé
01012,Aranc,Rural à habitat dispersé
01013,Arandas,Rural à habitat très dispersé
01014,Arbent,Ceintures urbaines
01015,Arboys en Bugey,Rural à habitat dispersé
01016,Arbigny,Rural à habitat dispersé
01017,Argis,Rural à habitat dispersé
01019,Armix,Rural à habitat très dispersé
01021,Ars-sur-Formans,Bourgs ruraux
01022,Artemare,Bourgs ruraux
01023,Asnières-sur-Saône,Rural à habitat dispersé
01024,Attignat,Bourgs ruraux
01025,Bâgé-Dommartin,Rural à habitat dispersé
01026,Bâgé-le-Châtel,Bourgs ruraux
01027,Balan,Bourgs ruraux
01028,Baneins,Rural à habitat dispersé
01029,Beaupont,Rural à habitat dispersé
01030,Beauregard,Ceintures urbaines
01031,Bellignat,Centres urbains intermédiaires
01032,Béligneux,Bourgs ruraux
01033,Valserhône,Centres urbains intermédiaires
01034,Belley,Petites villes
01035,Belleydoux,Rural à habitat dispersé
01036,Valromey-sur-Séran,Rural à habitat dispersé
01037,Bénonces,Rural à habitat dispersé
01038,Bény,Rural à habitat dispersé
01040,Béréziat,Rural à habitat dispersé
01041,Bettant,Ceintures urbaines
01042,Bey,Rural à habitat dispersé
01043,Beynost,Centres urbains intermédiaires
01044,Billiat,Rural à habitat dispersé
01045,Birieux,Rural à habitat dispersé
01046,Biziat,Rural à habitat dispersé
01047,Blyes,Rural à habitat dispersé
01049,La Boisse,Ceintures urbaines
01050,Boissey,Rural à habitat dispersé
01051,Bolozon,Rural à habitat très dispersé
01052,Bouligneux,Rural à habitat très dispersé
01053,Bourg-en-Bresse,Centres urbains intermédiaires
01054,Bourg-Saint-Christophe,Bourgs ruraux
01056,Boyeux-Saint-Jérôme,Rural à habitat dispersé
01057,Boz,Rural à habitat dispersé
01058,Brégnier-Cordon,Rural à habitat dispersé
01060,Brénod,Rural à habitat dispersé
01061,Brens,Rural à habitat dispersé
01062,Bressolles,Ceintures urbaines
01063,Brion,Petites villes
01064,Briord,Rural à habitat dispersé
01065,Buellas,Bourgs ruraux
01066,La Burbanche,Rural à habitat très dispersé
01067,Ceignes,Rural à habitat dispersé
01068,Cerdon,Rural à habitat dispersé
01069,Certines,Bourgs ruraux
01071,Cessy,Ceintures urbaines
01072,Ceyzériat,Bourgs ruraux
01073,Ceyzérieu,Rural à habitat dispersé
01074,Chalamont,Bourgs ruraux
01075,Chaleins,Bourgs ruraux
01076,Chaley,Rural à habitat dispersé
01077,Challes-la-Montagne,Rural à habitat dispersé
01078,Challex,Petites villes
01079,Champagne-en-Valromey,Rural à habitat dispersé
01080,Champdor-Corcelles,Rural à habitat dispersé
01081,Champfromier,Rural à habitat dispersé
01082,Chanay,Rural à habitat dispersé
01083,Chaneins,Rural à habitat dispersé
01084,Chanoz-Châtenay,Rural à habitat dispersé
01085,La Chapelle-du-Châtelard,Rural à habitat dispersé
01087,Charix,Rural à habitat dispersé
01088,Charnoz-sur-Ain,Bourgs ruraux
01089,Château-Gaillard,Bourgs ruraux
01090,Châtenay,Rural à habitat dispersé
01092,Châtillon-la-Palud,Bourgs ruraux
01093,Châtillon-sur-Chalaronne,Bourgs ruraux
01094,Chavannes-sur-Reyssouze,Rural à habitat dispersé
01095,Nivigne et Suran,Rural à habitat dispersé
01096,Chaveyriat,Rural à habitat dispersé
01098,Chazey-Bons,Rural à habitat dispersé
01099,Chazey-sur-Ain,Rural à habitat dispersé
01100,Cheignieu-la-Balme,Rural à habitat dispersé
01101,Chevillard,Rural à habitat dispersé
01102,Chevroux,Rural à habitat dispersé
01103,Chevry,Ceintures urbaines
01104,Chézery-Forens,Rural à habitat dispersé
01105,Civrieux,Bourgs ruraux
01106,Cize,Rural à habitat dispersé
01107,Cleyzieu,Rural à habitat dispersé
01108,Coligny,Rural à habitat dispersé
01109,Collonges,Bourgs ruraux
01110,Colomieu,Rural à habitat dispersé
01111,Conand,Rural à habitat très dispersé
01112,Condamine,Rural à habitat dispersé
01113,Condeissiat,Rural à habitat dispersé
01114,Confort,Rural à habitat dispersé
01115,Confrançon,Rural à habitat dispersé
01116,Contrevoz,Rural à habitat dispersé
01117,Conzieu,Rural à habitat dispersé
01118,Corbonod,Rural à habitat dispersé
01121,Corlier,Rural à habitat dispersé
01123,Cormoranche-sur-Saône,Rural à habitat dispersé
01124,Cormoz,Rural à habitat dispersé
01125,Corveissiat,Rural à habitat dispersé
01127,Courmangoux,Rural à habitat dispersé
01128,Courtes,Rural à habitat dispersé
01129,Crans,Rural à habitat très dispersé
01130,Bresse Vallons,Rural à habitat dispersé
01133,Cressin-Rochefort,Rural à habitat dispersé
