insee_com,lib_com,niveau_montagne
01002,L'Abergement-de-Varey,02 - Massif du Jura
01004,Ambérieu-en-Bugey,02 - Massif du Jura
01006,Ambléon,02 - Massif du Jura
01007,Ambronay,02 - Massif du Jura
01009,Andert-et-Condon,02 - Massif du Jura
01010,Anglefort,02 - Massif du Jura
01011,Apremont,02 - Massif du Jura
01012,Aranc,02 - Massif du Jura
01013,Arandas,02 - Massif du Jura
01014,Arbent,02 - Massif du Jura
01015,Arboys en Bugey,02 - Massif du Jura
01017,Argis,02 - Massif du Jura
01019,Armix,02 - Massif du Jura
01022,Artemare,02 - Massif du Jura
01031,Bellignat,02 - Massif du Jura
01033,Valserhône,02 - Massif du Jura
01034,Belley,02 - Massif du Jura
01035,Belleydoux,02 - Massif du Jura
01036,Valromey-sur-Séran,02 - Massif du Jura
01037,Bénonces,02 - Massif du Jura
01041,Bettant,02 - Massif du Jura
01044,Billiat,02 - Massif du Jura
01051,Bolozon,02 - Massif du Jura
01056,Boyeux-Saint-Jérôme,02 - Massif du Jura
01058,Brégnier-Cordon,02 - Massif du Jura
01060,Brénod,02 - Massif du Jura
01061,Brens,02 - Massif du Jura
01063,Brion,02 - Massif du Jura
01064,Briord,02 - Massif du Jura
01066,La Burbanche,02 - Massif du Jura
01067,Ceignes,02 - Massif du Jura
01068,Cerdon,02 - Massif du Jura
01071,Cessy,02 - Massif du Jura
01073,Ceyzérieu,02 - Massif du Jura
01076,Chaley,02 - Massif du Jura
01077,Challes-la-Montagne,02 - Massif du Jura
01078,Challex,02 - Massif du Jura
01079,Champagne-en-Valromey,02 - Massif du Jura
01080,Champdor-Corcelles,02 - Massif du Jura
01081,Champfromier,02 - Massif du Jura
01082,Chanay,02 - Massif du Jura
01087,Charix,02 - Massif du Jura
01095,Nivigne et Suran,02 - Massif du Jura
01098,Chazey-Bons,02 - Massif du Jura
01100,Cheignieu-la-Balme,02 - Massif du Jura
01101,Chevillard,02 - Massif du Jura
01103,Chevry,02 - Massif du Jura
01104,Chézery-Forens,02 - Massif du Jura
01106,Cize,02 - Massif du Jura
01107,Cleyzieu,02 - Massif du Jura
01109,Collonges,02 - Massif du Jura
01110,Colomieu,02 - Massif du Jura
01111,Conand,02 - Massif du Jura
01112,Condamine,02 - Massif du Jura
01114,Confort,02 - Massif du Jura
01116,Contrevoz,02 - Massif du Jura
01117,Conzieu,02 - Massif du Jura
01118,Corbonod,02 - Massif du Jura
01121,Corlier,02 - Massif du Jura
01125,Corveissiat,02 - Massif du Jura
01127,Courmangoux,02 - Massif du Jura
01133,Cressin-Rochefort,02 - Massif du Jura
01135,Crozet,02 - Massif du Jura
01138,Culoz-Béon,02 - Massif du Jura
01141,Cuzieu,02 - Massif du Jura
01143,Divonne-les-Bains,02 - Massif du Jura
01148,Dortan,02 - Massif du Jura
01149,Douvres,02 - Massif du Jura
01150,Drom,02 - Massif du Jura
01152,Échallon,02 - Massif du Jura
01153,Échenevex,02 - Massif du Jura
01155,Évosges,02 - Massif du Jura
01158,Farges,02 - Massif du Jura
01160,Ferney-Voltaire,02 - Massif du Jura
01162,Flaxieu,02 - Massif du Jura
01170,Béard-Géovreissiat,02 - Massif du Jura
01171,Géovreisset,02 - Massif du Jura
01173,Gex,02 - Massif du Jura
01174,Giron,02 - Massif du Jura
01177,Grand-Corent,02 - Massif du Jura
01180,Grilly,02 - Massif du Jura
01181,Groissiat,02 - Massif du Jura
01184,Hautecourt-Romanèche,02 - Massif du Jura
01185,Plateau d'Hauteville,02 - Massif du Jura
01187,Haut Valromey,02 - Massif du Jura
