insee_com,lib_com,niveau_ruralite
01001,L'Abergement-Clémenciat, Les ruralités résidentielles mixtes
01002,L'Abergement-de-Varey, Les ruralités résidentielles aisées
01004,Ambérieu-en-Bugey, Hors champ : DOM ou commune urbaine
01005,Ambérieux-en-Dombes, Les ruralités résidentielles aisées
01006,Ambléon, Les ruralités productives ouvrières
01007,Ambronay, Les ruralités résidentielles aisées
01008,Ambutrix, Hors champ : DOM ou commune urbaine
01009,Andert-et-Condon, Les ruralités résidentielles mixtes
01010,Anglefort, Les petites polarités industrielles et artisanales
01011,Apremont, Les ruralités résidentielles mixtes
01012,Aranc, Les ruralités productives agricoles
01013,Arandas, Les ruralités touristiques à dominante résidentielle
01014,Arbent, Hors champ : DOM ou commune urbaine
01015,Arboys en Bugey, Les petites polarités mixtes
01016,Arbigny, Les ruralités résidentielles mixtes
01017,Argis, Les ruralités productives agricoles
01019,Armix, Les ruralités touristiques à dominante résidentielle
01021,Ars-sur-Formans, Les ruralités résidentielles aisées
01022,Artemare, Les petites polarités mixtes
01023,Asnières-sur-Saône, Les petites polarités mixtes
01024,Attignat, Les ruralités résidentielles aisées
01025,Bâgé-Dommartin, Les ruralités résidentielles aisées
01026,Bâgé-le-Châtel, Les petites polarités mixtes
01027,Balan, Les ruralités résidentielles mixtes
01028,Baneins, Les ruralités résidentielles mixtes
01029,Beaupont, Les ruralités résidentielles mixtes
01030,Beauregard, Hors champ : DOM ou commune urbaine
01031,Bellignat, Hors champ : DOM ou commune urbaine
01032,Béligneux, Les petites polarités mixtes
01033,Valserhône, Hors champ : DOM ou commune urbaine
01034,Belley, Hors champ : DOM ou commune urbaine
01035,Belleydoux, Les ruralités touristiques à dominante résidentielle
01036,Valromey-sur-Séran, Les ruralités productives ouvrières
01037,Bénonces, Les ruralités touristiques à dominante résidentielle
01038,Bény, Les ruralités résidentielles mixtes
01040,Béréziat, Les ruralités résidentielles mixtes
01041,Bettant, Hors champ : DOM ou commune urbaine
01042,Bey, Les ruralités résidentielles aisées
01043,Beynost, Hors champ : DOM ou commune urbaine
01044,Billiat, Les petites polarités industrielles et artisanales
01045,Birieux, Les ruralités résidentielles aisées
01046,Biziat, Les ruralités résidentielles aisées
01047,Blyes, Les ruralités résidentielles aisées
01049,La Boisse, Hors champ : DOM ou commune urbaine
01050,Boissey, Les ruralités résidentielles aisées
01051,Bolozon, Les ruralités touristiques à dominante résidentielle
01052,Bouligneux, Les ruralités résidentielles mixtes
01053,Bourg-en-Bresse, Hors champ : DOM ou commune urbaine
01054,Bourg-Saint-Christophe, Les ruralités résidentielles aisées
